Word,Frequency,Frequency(%)
1978,3,0.01
303,3,0.01
432,3,0.01
040,3,0.01
571,3,0.01
1913,3,0.01
1914,3,0.01
ussr,3,0.01
537,3,0.01
06,3,0.01
185,3,0.01
400,3,0.01
52,3,0.01
786,3,0.01
397,3,0.01
406,3,0.01
unit,3,0.01
rule,3,0.01
539,3,0.01
production,3,0.01
studies,3,0.01
reserves,3,0.01
1959,3,0.01
195,3,0.01
384,3,0.01
reference,3,0.01
1928,3,0.01
644,3,0.01
5852703338,3,0.01
363,3,0.01
323,3,0.01
pwc,3,0.01
362,3,0.01
361,3,0.01
47,3,0.01
59,3,0.01
338,3,0.01
035,3,0.01
038,3,0.01
332,3,0.01
336,3,0.01
091,3,0.01
time,3,0.01
579,3,0.01
political,3,0.01
04,3,0.01
44,3,0.01
nuclear,3,0.01
029,3,0.01
1945,3,0.01
687,3,0.01
regnum,3,0.01
377,3,0.01
126,3,0.01
044,3,0.01
67,3,0.01
366,3,0.01
oil,3,0.01
1924,3,0.01
365,3,0.01
short,3,0.01
158,3,0.01
121,3,0.01
cia,3,0.01
156,3,0.01
g20,3,0.01
china,3,0.01
113,3,0.01
157,3,0.01
law,3,0.01
gas,3,0.01
lentaru,3,0.01
261,3,0.01
bloomberg,3,0.01
160,3,0.01
gdp,3,0.01
bbc,3,0.01
265,3,0.01
266,3,0.01
authoritarian,3,0.01
global,3,0.01
as,3,0.01
164,3,0.01
151,3,0.01
248,3,0.01
205,3,0.01
117,3,0.01
e,3,0.01
xxi,3,0.01
ernst,3,0.01
25042008,3,0.01
238,3,0.01
210,3,0.01
257,3,0.01
nationalism,3,0.01
115,3,0.01
152,3,0.01
xvi,3,0.01
23101792,3,0.01
007,3,0.01
231,3,0.01
230,3,0.01
154,3,0.01
communist,3,0.01
175,3,0.01
95,3,0.01
130,3,0.01
291,3,0.01
millions,3,0.01
92,3,0.01
84,3,0.01
histories,3,0.01
900,3,0.01
worlds,3,0.01
mit,3,0.01
85,3,0.01
289,3,0.01
129,3,0.01
most,3,0.01
856,3,0.01
855,3,0.01
martin,3,0.01
young,3,0.01
271,3,0.01
278,3,0.01
219,3,0.01
988,3,0.01
9785852703651,3,0.01
127,3,0.01
29100,3,0.01
97,3,0.01
3th,2,0.01
very,2,0.01
244,2,0.01
selected,2,0.01
576,2,0.01
360,2,0.01
239,2,0.01
xxii,2,0.01
236,2,0.01
237,2,0.01
2410,2,0.01
independent,2,0.01
364,2,0.01
240,2,0.01
393,2,0.01
rusya,2,0.01
224,2,0.01
386,2,0.01
226,2,0.01
russias,2,0.01
223,2,0.01
rus,2,0.01
378,2,0.01
222,2,0.01
3b,2,0.01
2217,2,0.01
376,2,0.01
youngblood,2,0.01
396,2,0.01
scientific,2,0.01
375,2,0.01
370,2,0.01
235,2,0.01
second,2,0.01
304,2,0.01
334,2,0.01
329,2,0.01
321,2,0.01
xi,2,0.01
267,2,0.01
uk,2,0.01
270,2,0.01
workplace,2,0.01
315,2,0.01
311,2,0.01
279,2,0.01
307,2,0.01
335,2,0.01
2797,2,0.01
wileyblackwell,2,0.01
wikimedia,2,0.01
30122001,2,0.01
285,2,0.01
288,2,0.01
webarchiveorg,2,0.01
united,2,0.01
was,2,0.01
295,2,0.01
294,2,0.01
292,2,0.01
256,2,0.01
358,2,0.01
strategic,2,0.01
24g,2,0.01
3536,2,0.01
250,2,0.01
353,2,0.01
subjects,2,0.01
251,2,0.01
succession,2,0.01
taras,2,0.01
2526,2,0.01
253,2,0.01
247,2,0.01
348,2,0.01
344,2,0.01
343,2,0.01
342,2,0.01
territories,2,0.01
259,2,0.01
2596,2,0.01
260,2,0.01
339,2,0.01
262,2,0.01
337,2,0.01
authoritarianism,2,0.01
947,2,0.01
954,2,0.01
9780192529022,2,0.01
994,2,0.01
all,2,0.01
an,2,0.01
live,2,0.01
lieven,2,0.01
army,2,0.01
at,2,0.01
942,2,0.01
based,2,0.01
belarus,2,0.01
coal,2,0.01
coleman,2,0.01
companion,2,0.01
comparative,2,0.01
compared,2,0.01
concise,2,0.01
consent,2,0.01
control,2,0.01
838,2,0.01
746,2,0.01
765,2,0.01
780,2,0.01
782,2,0.01
783,2,0.01
789,2,0.01
792,2,0.01
809,2,0.01
826,2,0.01
national,2,0.01
lancet,2,0.01
851,2,0.01
888,2,0.01
modern,2,0.01
891,2,0.01
90,2,0.01
925,2,0.01
93,2,0.01
932,2,0.01
935,2,0.01
institute,2,0.01
european,2,0.01
itself,2,0.01
exporter,2,0.01
iss,2,0.01
facts,2,0.01
is,2,0.01
forbes,2,0.01
forces,2,0.01
former,2,0.01
invasion,2,0.01
europe,2,0.01
gksru,2,0.01
great,2,0.01
greenwood,2,0.01
h,2,0.01
harvard,2,0.01
historical,2,0.01
industrial,2,0.01
hosking,2,0.01
human,2,0.01
education,2,0.01
de,2,0.01
democracy,2,0.01
denise,2,0.01
development,2,0.01
died,2,0.01
doi101016jpostcomstud201512002,2,0.01
dr,2,0.01
kuzio,2,0.01
krzywdzinski,2,0.01
kort,2,0.01
713,2,0.01
journal,2,0.01
emerged,2,0.01
encyclopdia,2,0.01
ixxi,2,0.01
encyclopedia,2,0.01
ix,2,0.01
iv,2,0.01
engineering,2,0.01
engineers,2,0.01
490,2,0.01
regions,2,0.01
464,2,0.01
467,2,0.01
473,2,0.01
474,2,0.01
475,2,0.01
477,2,0.01
referendums,2,0.01
484,2,0.01
486,2,0.01
456,2,0.01
497,2,0.01
red,2,0.01
rbc,2,0.01
5060017311,2,0.01
509,2,0.01
514,2,0.01
5148,2,0.01
516,2,0.01
527,2,0.01
42413,2,0.01
revised,2,0.01
401,2,0.01
402,2,0.01
404,2,0.01
409,2,0.01
413,2,0.01
416,2,0.01
422,2,0.01
423,2,0.01
424,2,0.01
prof,2,0.01
425,2,0.01
research,2,0.01
431,2,0.01
433,2,0.01
435,2,0.01
449,2,0.01
republics,2,0.01
report,2,0.01
451,2,0.01
685686,2,0.01
608,2,0.01
pdf,2,0.01
611,2,0.01
online,2,0.01
633,2,0.01
635,2,0.01
646,2,0.01
665,2,0.01
6667,2,0.01
685,2,0.01
607,2,0.01
689,2,0.01
69,2,0.01
occupied,2,0.01
6th,2,0.01
newsrucom,2,0.01
news,2,0.01
71,2,0.01
710,2,0.01
712,2,0.01
pp,2,0.01
533,2,0.01
541,2,0.01
547,2,0.01
produce,2,0.01
551,2,0.01
559,2,0.01
present,2,0.01
563,2,0.01
565,2,0.01
ppp,2,0.01
riasanovsky,2,0.01
powersthe,2,0.01
postcommunist,2,0.01
591,2,0.01
592,2,0.01
594,2,0.01
perceptions,2,0.01
604,2,0.01
605,2,0.01
606,2,0.01
2024,2,0.01
19691978,2,0.01
1969,2,0.01
1714,2,0.01
171,2,0.01
1474,2,0.01
1985,2,0.01
079,2,0.01
1939,2,0.01
046,2,0.01
1988,2,0.01
1460,2,0.01
145,2,0.01
1937,2,0.01
19411942,2,0.01
1965,2,0.01
203,2,0.01
2030,2,0.01
2031,2,0.01
2036,2,0.01
1964,2,0.01
109,2,0.01
206,2,0.01
118,2,0.01
208,2,0.01
086,2,0.01
1980,2,0.01
031,2,0.01
09,2,0.01
1925,2,0.01
20112017,2,0.01
1520,2,0.01
1290,2,0.01
20142015,2,0.01
150,2,0.01
153,2,0.01
028,2,0.01
133,2,0.01
036,2,0.01
193,2,0.01
1242,2,0.01
180,2,0.01
1919b,2,0.01
1240,2,0.01
024,2,0.01
1930,2,0.01
042,2,0.01
181,2,0.01
1936,2,0.01
216,2,0.01
01022002,2,0.01
056,2,0.01
067,2,0.01
2193,2,0.01
2094i,2,0.01
066,2,0.01
1642,2,0.01
218,2,0.01
211,2,0.01
19922008,2,0.01
217,2,0.01
1896,2,0.01
140,2,0.01
161,2,0.01
163,2,0.01
190,2,0.01
134,2,0.01
1957,2,0.01
214,2,0.01
139,2,0.01
1387,2,0.01
188,2,0.01
069,2,0.01
209,2,0.01
1150,2,0.01
20002008,2,0.01
059,2,0.01
134155,2,0.01
1404,2,0.01
2082,2,0.01
131165,1,0.00
harrison,1,0.00
hah,1,0.00
1300,1,0.00
fontana,1,0.00
1303,1,0.00
12thbritannica,1,0.00
finanzru25072017,1,0.00
136198,1,0.00
foundationpowered,1,0.00
foreign,1,0.00
guide,1,0.00
fool,1,0.00
historia,1,0.00
hellie,1,0.00
he,1,0.00
health,1,0.00
healthrelated,1,0.00
heightened,1,0.00
hell,1,0.00
hippel,1,0.00
highly,1,0.00
137198,1,0.00
forced,1,0.00
hidden,1,0.00
1363,1,0.00
hgo,1,0.00
heres,1,0.00
freeze,1,0.00
glantz,1,0.00
httpswwwgksrufreedocnewsitevvptab10xls,1,0.00
ggrossman,1,0.00
freedomhouseorg,1,0.00
geschicht,1,0.00
georgia,1,0.00
geographic435,1,0.00
geographic,1,0.00
gen,1,0.00
glasgow,1,0.00
133134,1,0.00
gazetaru,1,0.00
133139140,1,0.00
frozen,1,0.00
galonifontibus,1,0.00
galleries,1,0.00
g8,1,0.00
g7,1,0.00
133198,1,0.00
graduates,1,0.00
group,1,0.00
ground,1,0.00
formed,1,0.00
grossman,1,0.00
1361,1,0.00
foundation,1,0.00
france,1,0.00
131198,1,0.00
1318,1,0.00
growth,1,0.00
frank,1,0.00
government,1,0.00
135198,1,0.00
gorbachev,1,0.00
goals,1,0.00
globalburden,1,0.00
1325,1,0.00
gleason,1,0.00
glasnost,1,0.00
january,1,0.00
kansas,1,0.00
kadar,1,0.00
k,1,0.00
jstor,1,0.00
1175,1,0.00
joshua,1,0.00
josef,1,0.00
jonathan,1,0.00
johns,1,0.00
johannes,1,0.00
jee,1,0.00
japanese,1,0.00
keenan,1,0.00
jack,1,0.00
119198,1,0.00
ixx,1,0.00
11thbritannica,1,0.00
120,1,0.00
12003,1,0.00
its,1,0.00
it,1,0.00
issue,1,0.00
120121,1,0.00
12042013,1,0.00
kremlinru,1,0.00
1129,1,0.00
late,1,0.00
1132,1,0.00
1137,1,0.00
kzn,1,0.00
kyivan,1,0.00
1166,1,0.00
kurumu,1,0.00
kurat,1,0.00
kuf,1,0.00
1167,1,0.00
krr,1,0.00
iso,1,0.00
krach,1,0.00
11749,1,0.00
knowledge,1,0.00
klaas,1,0.00
kjell,1,0.00
kja,1,0.00
kingsford,1,0.00
kievan,1,0.00
khv,1,0.00
khushboo,1,0.00
kgd,1,0.00
httpswwwgksrufreedocdoc2011yearprilyear2011xls,1,0.00
immense,1,0.00
imf,1,0.00
im,1,0.00
illegal,1,0.00
ikt,1,0.00
125126,1,0.00
126158,1,0.00
127198,1,0.00
httpswwwgksrufreedocnewsitevvptab3xls,1,0.00
espn,1,0.00
httpswwwgksrufreedocnewsitepopulationdemoperitogtab7xls,1,0.00
httpswwwgksrufreedocnewsitebusinesspromindpromokvedxls,1,0.00
inc,1,0.00
hr,1,0.00
how,1,0.00
house207,1,0.00
house204,1,0.00
1282,1,0.00
hopkins,1,0.00
home,1,0.00
holly,1,0.00
holds,1,0.00
hoboken,1,0.00
hitler,1,0.00
interesting,1,0.00
12042017,1,0.00
12042019,1,0.00
iq,1,0.00
ip,1,0.00
investment,1,0.00
12092016,1,0.00
121163,1,0.00
introduced,1,0.00
internet,1,0.00
international379,1,0.00
12121993,1,0.00
interfaxru,1,0.00
129130,1,0.00
1214,1,0.00
1216,1,0.00
infopravo,1,0.00
influence,1,0.00
inflation,1,0.00
1218,1,0.00
indices,1,0.00
indicators,1,0.00
12314b,1,0.00
12371240,1,0.00
including,1,0.00
bushkovitch,1,0.00
cc,1,0.00
catholic,1,0.00
carnegie,1,0.00
capita,1,0.00
cancel,1,0.00
1569,1,0.00
california,1,0.00
c54,1,0.00
c40,1,0.00
1570,1,0.00
bysa,1,0.00
1571,1,0.00
ccipolla,1,0.00
building,1,0.00
budjeryn,1,0.00
buckby,1,0.00
brutal,1,0.00
1573,1,0.00
britain,1,0.00
brief,1,0.00
bridges,1,0.00
brian,1,0.00
breakup,1,0.00
boulder,1,0.00
climate,1,0.00
commons,1,0.00
committee,1,0.00
combined,1,0.00
collectivization,1,0.00
collaboration,1,0.00
154178,1,0.00
cold,1,0.00
cognitive,1,0.00
155,1,0.00
co,1,0.00
cnn,1,0.00
cnbc,1,0.00
borrero,1,0.00
clashed,1,0.00
citizens,1,0.00
155156,1,0.00
1564,1,0.00
chernova,1,0.00
chatterjee,1,0.00
charlotte,1,0.00
century,1,0.00
central,1,0.00
center,1,0.00
celebrates,1,0.00
assist,1,0.00
bakanl,1,0.00
bad,1,0.00
azerbaijan,1,0.00
average,1,0.00
auty,1,0.00
1613,1,0.00
1618,1,0.00
attainment,1,0.00
atlas,1,0.00
atlantic,1,0.00
162,1,0.00
associated,1,0.00
balance,1,0.00
ascher,1,0.00
art,1,0.00
armenia,1,0.00
anyone,1,0.00
ansiklopedisitreccaniuniversalisuniversalis,1,0.00
announces,1,0.00
165,1,0.00
annex,1,0.00
anna,1,0.00
ankara,1,0.00
anewscom,1,0.00
berlinger,1,0.00
bodies,1,0.00
bns,1,0.00
159155441,1,0.00
bleskovou,1,0.00
bitva,1,0.00
binder,1,0.00
biicl,1,0.00
bfmru,1,0.00
between,1,0.00
better,1,0.00
best,1,0.00
bertil,1,0.00
15402,1,0.00
1600,1,0.00
behalf,1,0.00
16022018,1,0.00
bazylow,1,0.00
basingstoke,1,0.00
baseline,1,0.00
16042009,1,0.00
bartlett,1,0.00
barbara,1,0.00
bank,1,0.00
balangtan,1,0.00
eighth,1,0.00
engel,1,0.00
endowment,1,0.00
endowed,1,0.00
142143144145,1,0.00
143179,1,0.00
encarta,1,0.00
143182,1,0.00
embibe,1,0.00
ellyatt,1,0.00
electricity,1,0.00
eiu,1,0.00
eine,1,0.00
engelbrekt,1,0.00
educationen,1,0.00
educational,1,0.00
edinchief,1,0.00
edby,1,0.00
1457,1,0.00
economics,1,0.00
economic,1,0.00
eastern,1,0.00
early,1,0.00
146180,1,0.00
14716895,1,0.00
evans,1,0.00
fileen,1,0.00
file,1,0.00
federation,1,0.00
fake,1,0.00
138198,1,0.00
facebook,1,0.00
f,1,0.00
extended,1,0.00
experts,1,0.00
expert,1,0.00
expanded,1,0.00
events,1,0.00
dukes,1,0.00
1400,1,0.00
essential,1,0.00
11032016,1,0.00
eskiehir,1,0.00
err,1,0.00
1403938121,1,0.00
erik,1,0.00
erica,1,0.00
enterprises,1,0.00
english,1,0.00
14092014,1,0.00
corruptions,1,0.00
dayindependence,1,0.00
david,1,0.00
data,1,0.00
danger,1,0.00
1518,1,0.00
cut,1,0.00
crisis,1,0.00
crimean,1,0.00
crimea,1,0.00
creative,1,0.00
countrywatch,1,0.00
152153,1,0.00
1500,1,0.00
corruption,1,0.00
1522,1,0.00
continuity,1,0.00
contemporary,1,0.00
1524,1,0.00
conquered,1,0.00
conflicts,1,0.00
1530,1,0.00
15313298,1,0.00
companions,1,0.00
153315,1,0.00
dewdney,1,0.00
147180,1,0.00
donbas,1,0.00
dokumentierte,1,0.00
doi1055540003117232944,1,0.00
dnya,1,0.00
dme,1,0.00
disease,1,0.00
direct,1,0.00
digging,1,0.00
1478,1,0.00
didnt,1,0.00
dictatorship,1,0.00
films,1,0.00
devlet,1,0.00
148149150151,1,0.00
deutschland,1,0.00
desamtdt,1,0.00
denver,1,0.00
1497,1,0.00
democratic,1,0.00
delfi,1,0.00
degerloch,1,0.00
defiance,1,0.00
debasmita,1,0.00
timber,1,0.00
transparencyorg,1,0.00
transmission,1,0.00
transition,1,0.00
training,1,0.00
032,1,0.00
took,1,0.00
too,1,0.00
todays,1,0.00
034,1,0.00
tjm,1,0.00
titans,1,0.00
times,1,0.00
transsiberian,1,0.00
tim,1,0.00
thompson,1,0.00
think,1,0.00
037,1,0.00
039,1,0.00
territory,1,0.00
041,1,0.00
tensions,1,0.00
tens,1,0.00
teilung,1,0.00
technology,1,0.00
technological,1,0.00
03,1,0.00
urff,1,0.00
up,1,0.00
unnt,1,0.00
unkl,1,0.00
025,1,0.00
universitas,1,0.00
026,1,0.00
027,1,0.00
under,1,0.00
umkk,1,0.00
ultimate,1,0.00
ulli,1,0.00
tatara,1,0.00
03012017,1,0.00
03032014,1,0.00
uiii,1,0.00
uhww,1,0.00
uhhh,1,0.00
ufa,1,0.00
two,1,0.00
tv,1,0.00
trouble,1,0.00
trk,1,0.00
trenches,1,0.00
signs,1,0.00
sports,1,0.00
special,1,0.00
05032012,1,0.00
sound,1,0.00
solchanyk,1,0.00
society,1,0.00
socialist,1,0.00
smithen,1,0.00
slam,1,0.00
skills,1,0.00
sip,1,0.00
simferopol,1,0.00
stage,1,0.00
sight,1,0.00
shtuttgart,1,0.00
05032018,1,0.00
shevtsova,1,0.00
sheth,1,0.00
sham,1,0.00
setonwatson,1,0.00
set,1,0.00
05042016,1,0.00
seit,1,0.00
seevald,1,0.00
studiesen,1,0.00
taruskin,1,0.00
tarih,1,0.00
044315,1,0.00
t,1,0.00
svx,1,0.00
svo,1,0.00
sustainable,1,0.00
support,1,0.00
suny,1,0.00
045,1,0.00
su,1,0.00
study,1,0.00
urff283,1,0.00
047,1,0.00
strengthened,1,0.00
05,1,0.00
stopped,1,0.00
stock,1,0.00
05022014,1,0.00
05032010,1,0.00
start,1,0.00
stalin,1,0.00
stagnation,1,0.00
stages,1,0.00
wwwmedicalencru,1,0.00
xlsx,1,0.00
01,1,0.00
010,1,0.00
xiixvi,1,0.00
01012017,1,0.00
01012019,1,0.00
xcvii,1,0.00
x5,1,0.00
x,1,0.00
wyd,1,0.00
wwwpogodarunet,1,0.00
wwwnationalmentalitiesru,1,0.00
008,1,0.00
wwwencyclopediaofukrainecom,1,0.00
wwwcountrywatchcom,1,0.00
wwwconstitutionru,1,0.00
wwwbritannicacom,1,0.00
wrocawwarszawakrakw,1,0.00
would,1,0.00
01082016,1,0.00
worldatlas18072018,1,0.00
worldatlas,1,0.00
01112018,1,0.00
01122011,1,0.00
012,1,0.00
xxiii,1,0.00
ziegler,1,0.00
zeit,1,0.00
zakad,1,0.00
yugoslavia,1,0.00
000100,1,0.00
000125,1,0.00
000150,1,0.00
yivo,1,0.00
yangen,1,0.00
00019391948195319581963196819731978198319881993199820032008201320182023,1,0.00
xxvi,1,0.00
xxiv,1,0.00
013,1,0.00
00050,1,0.00
00075,1,0.00
001,1,0.00
xvxvi,1,0.00
xvixx,1,0.00
xvixviii,1,0.00
xviixix,1,0.00
xviiixxi,1,0.00
0028659074,1,0.00
003,1,0.00
005,1,0.00
uudd,1,0.00
vi,1,0.00
02092002,1,0.00
vedemecum,1,0.00
vast,1,0.00
valuation,1,0.00
022,1,0.00
uzupe,1,0.00
uwww,1,0.00
uwuu,1,0.00
uwkd,1,0.00
uuww,1,0.00
uuee,1,0.00
viix,1,0.00
utc2,1,0.00
utc12,1,0.00
ustr,1,0.00
usss,1,0.00
usa,1,0.00
urss,1,0.00
urrr,1,0.00
urmm,1,0.00
url,1,0.00
urkk,1,0.00
urges,1,0.00
wants,1,0.00
wikipedia,1,0.00
014,1,0.00
wieczorkiewicz,1,0.00
when,1,0.00
what,1,0.00
westview,1,0.00
01475967,1,0.00
015,1,0.00
017,1,0.00
watch,1,0.00
020,1,0.00
02042010,1,0.00
051,1,0.00
wachtel,1,0.00
vvo,1,0.00
votes,1,0.00
vonderheid,1,0.00
von,1,0.00
vol28,1,0.00
02052007,1,0.00
vodovozov,1,0.00
vlku,1,0.00
vko,1,0.00
viviii,1,0.00
1024,1,0.00
nonproliferation,1,0.00
no1,1,0.00
no,1,0.00
nj,1,0.00
niversitesi,1,0.00
10111987,1,0.00
newspaper,1,0.00
1015,1,0.00
10236,1,0.00
networks,1,0.00
neo,1,0.00
nautilus,1,0.00
notatia,1,0.00
1025,1,0.00
1067,1,0.00
1068,1,0.00
nation,1,0.00
narodowy,1,0.00
na,1,0.00
1072,1,0.00
museums,1,0.00
msn,1,0.00
mrv,1,0.00
mount,1,0.00
108111,1,0.00
100150,1,0.00
095,1,0.00
oxxxymiron,1,0.00
0952,1,0.00
ovb,1,0.00
other,1,0.00
ossoliskich,1,0.00
orbis,1,0.00
openness,1,0.00
0967067x,1,0.00
oneworld,1,0.00
10000,1,0.00
olympic,1,0.00
moskvu,1,0.00
officially,1,0.00
office,1,0.00
off,1,0.00
1010,1,0.00
october,1,0.00
occupying,1,0.00
1011,1,0.00
obolensky,1,0.00
o,1,0.00
nygren,1,0.00
101102103104105106107108,1,0.00
11102007,1,0.00
many,1,0.00
manpower,1,0.00
magazine,1,0.00
167,1,0.00
machinery,1,0.00
1106,1,0.00
11082022,1,0.00
lpl,1,0.00
losses,1,0.00
loose,1,0.00
longer,1,0.00
london,1,0.00
march,1,0.00
littlefield,1,0.00
listycz,1,0.00
lister,1,0.00
lilia,1,0.00
111112,1,0.00
lies,1,0.00
libraries,1,0.00
libellus,1,0.00
let,1,0.00
1122011,1,0.00
led,1,0.00
medvedkov,1,0.00
more,1,0.00
moorsteen,1,0.00
mood,1,0.00
moment,1,0.00
1088,1,0.00
mllerson,1,0.00
miroslav,1,0.00
109110,1,0.00
millar,1,0.00
milestone,1,0.00
mikhail,1,0.00
men,1,0.00
palgrave,1,0.00
medieval,1,0.00
mediawiki,1,0.00
measuring,1,0.00
means,1,0.00
me,1,0.00
mccauley,1,0.00
may,1,0.00
mass,1,0.00
1102,1,0.00
market,1,0.00
mark,1,0.00
07,1,0.00
061,1,0.00
06122011,1,0.00
063,1,0.00
resulted,1,0.00
restructuring,1,0.00
respond,1,0.00
resources,1,0.00
064,1,0.00
repository,1,0.00
renaissance,1,0.00
ren,1,0.00
0691116121,1,0.00
richard,1,0.00
07042015,1,0.00
07042017,1,0.00
07122016,1,0.00
recognized,1,0.00
rebounding,1,0.00
really,1,0.00
real,1,0.00
rbk,1,0.00
073,1,0.00
ratings,1,0.00
ratestatscom,1,0.00
057,1,0.00
scientificru,1,0.00
0521280389,1,0.00
science,1,0.00
saw,1,0.00
sarahmetolu,1,0.00
santa,1,0.00
s2cid,1,0.00
0521280396,1,0.00
0521283847,1,0.00
053,1,0.00
054,1,0.00
rusdelfilv,1,0.00
rankings,1,0.00
rur,1,0.00
rub,1,0.00
060,1,0.00
royal,1,0.00
rowman,1,0.00
rov,1,0.00
routledge,1,0.00
rosstatgovru,1,0.00
rosji,1,0.00
roman,1,0.00
rights,1,0.00
pln,1,0.00
082418,1,0.00
pozek,1,0.00
084,1,0.00
powers,1,0.00
postsoviet,1,0.00
popular,1,0.00
popraw,1,0.00
pompilius,1,0.00
polls,1,0.00
087,1,0.00
poe,1,0.00
podvig,1,0.00
ppl,1,0.00
pipeline,1,0.00
pew,1,0.00
perrie,1,0.00
per,1,0.00
peninsula,1,0.00
pearson,1,0.00
09102006,1,0.00
participation,1,0.00
part,1,0.00
parlamentn,1,0.00
parameters,1,0.00
077,1,0.00
railroad,1,0.00
raeff,1,0.00
radio,1,0.00
074,1,0.00
quarterlyen,1,0.00
075,1,0.00
